USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23504 14416 ?        Ss   11:47   0:03 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    11:47   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    11:47   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    11:47   0:06 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    11:47   0:22 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    11:47   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          17  0.0  0.0      0     0 ?        S    11:47   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    11:47   0:02 [migration/0]
root          19  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    11:47   0:01 [migration/2]
root          24  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    11:47   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    11:47   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    11:47   0:01 [migration/4]
root          30  0.0  0.0      0     0 ?        S    11:47   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   11:47   0:00 [kworker/4:0H-events_highpri]
